Threads;Cpp;Asm
1;95,6644;57,5056
2;66,7382;15,5955
3;50,4353;17,4784
4;46,9166;16,1356
5;51,8744;15,3211
6;50,4127;15,3608
7;47,1291;16,0332
8;45,8777;15,3587
9;55,5532;26,1124
10;64,808;24,5435
11;62,3137;17,3162
12;59,4934;18,2971
13;61,7518;17,6866
14;63,5442;18,6922
15;60,389;20,8554
16;65,695;18,0083
17;62,5539;16,7624
18;59,2007;19,3408
19;64,4014;17,2812
20;61,785;16,3195
21;61,1792;17,4088
22;63,6935;16,0917
23;61,3507;16,0021
24;61,5376;15,9552
25;64,075;16,2142
26;63,6189;15,8383
27;60,9125;16,1365
28;62,6729;15,9125
29;63,1935;16,3678
30;62,7284;16,1621
31;63,1026;16,2598
32;65,3178;15,9441
33;62,6503;16,529
34;65,6242;16,1408
35;63,161;16,4403
36;63,9167;16,0725
37;65,7884;16,3899
38;64,8203;16,3827
39;62,0201;16,3498
40;65,2116;16,7138
41;63,7234;16,5679
42;63,592;16,5529
43;54,6538;16,5589
44;47,4696;16,7381
45;57,1668;17,1575
46;47,5067;17,6896
47;51,1747;16,8691
48;47,3373;17,8321
49;48,7914;16,9531
50;48,0498;17,0756
51;48,159;17,6157
52;48,2056;18,5416
53;62,3145;17,7058
54;66,3295;17,5594
55;67,1555;17,6234
56;64,6667;18,3735
57;66,422;17,8099
58;65,4531;17,6187
59;81,7073;17,5193
60;65,0584;18,1354
61;65,9502;17,5552
62;65,285;17,1827
63;65,0836;17,0875
64;64,6168;17,5829
